,Followers.at.Posting,type_Live Video Complete,Likes.at.Posting,time_difference,prep,WC,focuspast,number,OtherP,Sixltr,article,fnctn,page_category_NEWS_SITE,WPS,Period,Comma,motion,we,time,sec_15,sec_30,sec_60,sec_120,sec_half_day,sec_day,sec_7_days,target,popular
132727,10848,0,11013,63217094.0,9.09,55,0.0,1.82,5.45,29.09,9.09,23.64,0,13.75,7.27,1.82,0.0,0.0,16.36,1,1,1,1,1,1,1,6,0
93043,5670781,0,5640543,58146913.0,8.0,25,0.0,4.0,0.0,16.0,0.0,40.0,1,8.33,4.0,0.0,4.0,8.0,4.0,1,1,1,1,1,1,1,22,0
93088,177183,1,183346,58186518.0,13.64,22,4.55,0.0,0.0,31.82,0.0,31.82,0,11.0,4.55,4.55,4.55,4.55,13.64,1,1,1,1,1,1,1,20,0
125009,644137,0,647945,6917714.0,13.33,15,0.0,0.0,13.33,20.0,0.0,26.67,0,7.5,6.67,0.0,0.0,0.0,6.67,1,1,1,1,1,1,1,8,0
42591,119278,1,117868,46504455.0,4.55,22,0.0,0.0,0.0,9.09,4.55,31.82,0,7.33,4.55,9.09,4.55,9.09,18.18,1,1,1,1,1,1,1,24,0
27682,564877,0,552285,59267702.0,10.42,48,0.0,6.25,20.83,27.08,0.0,16.67,0,24.0,6.25,0.0,0.0,0.0,6.25,1,1,1,1,1,1,1,7,0
59497,471047,0,466751,7955652.0,9.62,52,0.0,0.0,3.85,17.31,0.0,32.69,0,17.33,5.77,9.62,0.0,0.0,1.92,1,1,1,1,1,1,1,5,0
127226,290608,0,259348,10716852.0,3.7,27,0.0,7.41,29.63,40.74,3.7,14.81,0,9.0,7.41,0.0,0.0,0.0,7.41,1,1,1,1,1,1,1,1,0
64445,278163,0,257831,16012486.0,7.55,53,1.89,0.0,22.64,22.64,3.77,18.87,0,13.25,15.09,1.89,1.89,1.89,9.43,1,1,1,1,1,1,1,1,0
34331,1520398,0,1531730,36630614.0,18.18,33,0.0,0.0,0.0,21.21,3.03,42.42,0,8.25,3.03,3.03,0.0,3.03,9.09,1,1,1,1,1,1,1,9,0
9250,35747,0,35561,64366425.0,23.61,72,1.39,0.0,5.56,12.5,5.56,58.33,0,24.0,2.78,9.72,5.56,1.39,9.72,1,1,1,1,1,1,1,17,0
127964,1272809,0,1251112,12004955.0,0.0,28,3.57,0.0,0.0,25.0,3.57,50.0,0,14.0,3.57,3.57,3.57,0.0,3.57,1,1,1,1,1,1,1,9,0
18822,87809,0,88354,78542714.0,13.04,23,0.0,0.0,0.0,34.78,0.0,34.78,0,7.67,8.7,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,2,0
38010,85637,0,85982,40728314.0,13.46,52,1.92,7.69,13.46,25.0,3.85,25.0,0,17.33,11.54,0.0,1.92,0.0,3.85,1,1,1,1,1,1,1,1,0
41073,1837874,0,1758924,44694442.0,16.98,53,3.77,5.66,0.0,22.64,9.43,41.51,0,13.25,3.77,1.89,5.66,0.0,3.77,1,1,1,1,1,1,1,98,1
61010,11123906,0,9506522,10538172.0,17.31,52,5.77,0.0,0.0,34.62,5.77,38.46,0,10.4,9.62,0.0,3.85,0.0,3.85,1,1,1,1,1,1,1,9,0
102144,109523,1,108981,38374020.0,13.33,15,6.67,0.0,0.0,40.0,0.0,33.33,0,15.0,0.0,0.0,6.67,0.0,0.0,1,1,1,1,1,1,1,33,0
21991,942825,0,903211,51654314.0,10.0,60,1.67,1.67,0.0,30.0,6.67,36.67,0,15.0,6.67,1.67,1.67,0.0,5.0,1,1,1,1,1,1,1,41,1
119590,792353,1,735743,30931300.0,12.12,33,3.03,3.03,0.0,27.27,9.09,30.3,0,11.0,6.06,0.0,0.0,0.0,12.12,1,1,1,1,1,1,1,226,1
